channelNumb,JulianDay,PossibleDecayLength(MicroSeconds),StartDecay,EndDecay,FirstSignalTimeOverThreshold(nanoseconds),SecondSignalTimeoverThreshold(nanoseconds),PossibleDecayNumber
6899.1,2459722,2.89875,0.34020822,0.34020822,15,22.5,1
6899.3,2459722,11.57375,0.341580081,0.341580081,27.5,12.5,1
6899.1,2459722,17.1975,0.341677349,0.341677349,20,28.75,1
6899.1,2459722,0.465,0.343199301,0.343199301,26.25,8.75,1
6899.4,2459722,0.42375,0.34451642,0.34451642,33.75,25,1
6899.4,2459722,4.4425,0.344980524,0.344980524,31.25,23.75,1
6899.4,2459722,1.02999,0.346811217,0.346811217,30,20,1
6899.2,2459722,1.58751,0.347055418,0.347055418,27.5,35,1
6899.2,2459722,0.4775,0.348786537,0.348786537,33.75,15,1
6899.4,2459722,4.28375,0.350524284,0.350524284,31.25,23.75,1
6899.1,2459722,2.15751,0.350849144,0.350849144,32.5,17.5,1
6899.2,2459722,1.45125,0.35294723,0.35294723,25,25,1
6899.4,2459722,2.7975,0.353519865,0.353519865,31.25,17.5,1
6899.1,2459722,3.91625,0.355776312,0.355776312,25,18.75,1
6899.2,2459722,1.625,0.356302663,0.356302663,41.25,8.75,1
6899.2,2459722,1.78876,0.359370624,0.359370624,27.5,17.5,1
6899.2,2459722,8.98374,0.361000127,0.361000127,27.5,13.75,1
6899.2,2459722,2.21124,0.362181274,0.362181274,38.75,21.25,1
6899.2,2459722,3.71626,0.362358454,0.362358454,40,18.75,1
6899.2,2459722,1.94499,0.364299262,0.364299262,43.75,15,1
6899.1,2459722,1.98249,0.365377709,0.365377709,22.5,20,1
6899.2,2459722,1.21376,0.369840553,0.369840553,33.75,26.25,1
6899.4,2459722,2.29,0.370268265,0.370268265,26.25,28.75,1
6899.2,2459722,3.9725,0.371982831,0.371982831,33.75,18.75,1
6899.4,2459722,2.06751,0.372905238,0.372905238,33.75,25,1
6899.2,2459722,1.03374,0.373143822,0.373143822,31.25,20,1
6899.2,2459722,0.7775,0.373338756,0.373338756,33.75,26.25,1
6899.1,2459722,2.655,0.373372238,0.373372238,32.5,18.75,1
6899.2,2459722,1.90751,0.37337898,0.37337898,33.75,28.75,1
6899.1,2459722,18.2875,0.373687278,0.373687279,21.25,16.24,1
6899.2,2459722,1.69,0.37471023,0.37471023,28.76,17.5,1
6899.1,2459722,3.08876,0.374797881,0.374797881,33.75,21.25,1
6899.1,2459722,2.6575,0.374950004,0.374950004,22.5,20,1
6899.2,2459722,4.2425,0.377033438,0.377033438,20,31.25,1
6899.4,2459722,3.1925,0.378543057,0.378543057,35,26.25,1
6899.1,2459722,0.43,0.379772091,0.379772091,18.75,22.5,1
6899.2,2459722,1.70624,0.379797925,0.379797925,32.5,25.01,1
6899.2,2459722,2.095,0.381759778,0.381759778,36.25,30,1
6899.2,2459722,1.19249,0.382240247,0.382240247,28.75,13.75,1
6899.1,2459722,0.87127,0.382300213,0.382300213,51.25,16.25,1
6899.2,2459722,2.3125,0.382413584,0.382413584,40,18.75,1
6899.3,2459722,1.64,0.383350943,0.383350943,46.25,31.24,1
6899.1,2459722,2.7325,0.384688172,0.384688172,15.01,17.5,1
6899.1,2459722,2.89625,0.386706088,0.386706088,21.25,17.5,1
6899.4,2459722,4.37125,0.387668768,0.387668768,31.24,35,1
