#,channelNumb,JulianDay,PossibleDecayLength(MicroSeconds),StartDecay,EndDecay,FirstSignalTimeOverThreshold(nanoseconds),SecondSignalTimeoverThreshold(nanoseconds),PossibleDecayNumber
6899,4,2458256,1.7,0.16849853,0.16849853,43.75,26.25,1
6899,3,2458256,1.695,0.16849853,0.16849853,35,40,1
6899,1,2458256,4.54125,0.171215965,0.171215965,17.5,26.25,1
6899,3,2458256,4.54501,0.171215965,0.171215965,26.25,22.5,1
6899,2,2458256,4.5425,0.171215965,0.171215965,17.5,27.5,1
6899,1,2458256,5.60875,0.173366897,0.173366897,26.25,18.75,1
6899,2,2458256,5.60625,0.173366897,0.173366897,41.25,31.25,1
6899,3,2458256,6.03626,0.173475344,0.173475344,26.25,27.5,1
6899,4,2458256,6.03251,0.173475344,0.173475344,20,27.5,1
6899,4,2458256,0.71,0.17350409,0.17350409,38.75,38.75,1
6899,3,2458256,0.7075,0.17350409,0.17350409,37.5,51.25,1
6899,3,2458256,0.585,0.174113969,0.174113969,33.75,40,1
6899,2,2458256,0.5625,0.174113969,0.174113969,20,37.5,1
6899,3,2458256,0.55,0.174113969,0.174113969,23.75,40,1
6899,1,2458256,2.2525,0.174769478,0.174769478,32.5,6.25,1
6899,4,2458256,6.1125,0.175244252,0.175244252,53.75,32.5,1
6899,3,2458256,6.11374,0.175244252,0.175244252,38.75,26.25,1
6899,2,2458256,3.4425,0.175538675,0.175538675,22.5,23.75,1
6899,1,2458256,3.15,0.175538675,0.175538675,32.5,26.25,1
6899,2,2458256,3.15125,0.175538675,0.175538675,43.75,23.75,1
6899,3,2458256,9.34875,0.175625795,0.175625796,26.25,18.75,1
6899,4,2458256,9.34625,0.175625795,0.175625796,22.5,16.25,1
6899,2,2458256,3.87626,0.176161333,0.176161333,52.5,35,1
6899,3,2458256,3.315,0.176662694,0.176662694,38.75,22.5,1
6899,1,2458256,1.055,0.177482283,0.177482283,25,10,1
6899,3,2458256,1.05625,0.177482283,0.177482283,41.25,7.5,1
6899,4,2458256,6.835,0.17814966,0.17814966,41.25,18.75,1
6899,3,2458256,1.2175,0.178577895,0.178577895,48.75,10,1
6899,2,2458256,0.93499,0.179910712,0.179910712,27.5,26.25,1
6899,2,2458256,0.79874,0.181401124,0.181401124,37.5,13.75,1
6899,3,2458256,0.625,0.181447918,0.181447918,35,31.25,1
6899,1,2458256,3.5725,0.181962842,0.181962842,28.75,27.5,1
6899,2,2458256,3.57,0.181962842,0.181962842,43.75,41.25,1
6899,2,2458256,3.41625,0.182065939,0.182065939,38.75,23.75,1
6899,1,2458256,4.03749,0.182334978,0.182334978,22.5,15,1
6899,3,2458256,4.03375,0.182334978,0.182334978,31.25,27.5,1
6899,3,2458256,0.40125,0.182345118,0.182345118,38.75,16.25,1
6899,4,2458256,0.70625,0.183397227,0.183397227,47.5,22.5,1
6899,3,2458256,0.70501,0.183397227,0.183397227,41.25,32.5,1
6899,3,2458256,1.0475,0.184162745,0.184162745,43.75,33.75,1
6899,2,2458256,1.20875,0.184595072,0.184595072,50,20,1
6899,3,2458256,7.945,0.184852114,0.184852114,33.75,22.5,1
6899,2,2458256,7.94625,0.184852114,0.184852114,23.75,13.75,1
6899,4,2458256,7.945,0.184852114,0.184852114,18.75,10,1
6899,4,2458256,4.50249,0.18575763,0.18575763,38.75,25,1
6899,3,2458256,4.50124,0.18575763,0.18575763,38.75,26.25,1
6899,4,2458256,2.82625,0.185977406,0.185977406,41.25,20,1
6899,4,2458256,6.07125,0.186137594,0.186137594,35,58.75,1
6899,3,2458256,6.06751,0.186137594,0.186137594,32.5,30,1
6899,4,2458256,0.97875,0.186301528,0.186301528,30,25,1
6899,3,2458256,0.97626,0.186301528,0.186301528,28.75,32.5,1
6899,2,2458256,3.40625,0.188570759,0.188570759,31.25,18.75,1
6899,3,2458256,3.40374,0.188570759,0.188570759,35,35,1
6899,2,2458256,3.48626,0.189396427,0.189396427,38.75,22.5,1
6899,3,2458256,0.35376,0.189898438,0.189898438,42.5,26.25,1
6899,2,2458256,0.6425,0.19073205,0.19073205,41.25,31.25,1
6899,4,2458256,0.66,0.193184315,0.193184315,38.75,12.5,1
6899,2,2458256,2.36001,0.194017223,0.194017223,41.25,21.25,1
6899,2,2458256,2.21375,0.194370585,0.194370585,41.25,20,1
6899,2,2458256,3.10625,0.194875647,0.194875647,31.25,25,1
6899,3,2458256,3.10624,0.194875647,0.194875647,30,26.25,1
6899,4,2458256,3.29875,0.195543497,0.195543497,56.25,33.75,1
6899,3,2458256,3.29625,0.195543497,0.195543497,46.25,35,1
6899,3,2458256,1.93876,0.198505554,0.198505554,42.5,23.75,1
6899,2,2458256,1.97625,0.199192266,0.199192266,43.75,35,1
6899,3,2458256,1.97875,0.199192266,0.199192266,43.75,22.5,1
6899,1,2458256,0.30875,0.200297542,0.200297542,35,17.5,1
6899,2,2458256,0.31125,0.200297542,0.200297542,21.25,21.25,1
6899,1,2458256,1.2775,0.200367012,0.200367012,17.5,10,1
6899,3,2458256,0.41,0.200562682,0.200562682,35,36.25,1
6899,1,2458256,0.6975,0.200597599,0.200597599,30,21.25,1
6899,2,2458256,0.69251,0.200597599,0.200597599,42.5,30,1
6899,4,2458256,3.18001,0.201271383,0.201271383,43.75,42.5,1
6899,3,2458256,3.1825,0.201271383,0.201271383,42.5,22.5,1
6899,3,2458256,3.10875,0.201271383,0.201271383,27.5,22.5,1
6899,2,2458256,1.12625,0.201504368,0.201504368,37.5,33.75,1
6899,3,2458256,0.50125,0.20333548,0.20333548,28.75,26.25,1
6899,2,2458256,2.69749,0.20386433,0.20386433,22.5,25,1
6899,4,2458256,4.33749,0.205741528,0.205741528,17.5,21.25,1
6899,3,2458256,4.335,0.205741528,0.205741528,12.5,30,1
6899,4,2458256,0.46749,0.206515297,0.206515297,41.25,16.25,1
6899,3,2458256,0.465,0.206515297,0.206515297,38.75,27.5,1
6899,3,2458256,0.42,0.206905907,0.206905907,38.75,26.25,1
6899,2,2458256,3.015,0.208534163,0.208534163,27.5,46.25,1
6899,1,2458256,3.50126,0.208689747,0.208689747,30,27.5,1
6899,3,2458256,3.50125,0.208689747,0.208689747,43.75,25,1
6899,3,2458256,2.09751,0.209736659,0.209736659,41.25,23.75,1
6899,2,2458256,1.69875,0.209841587,0.209841587,43.75,17.5,1
6899,4,2458256,0.79,0.209981791,0.209981791,22.5,28.75,1
6899,3,2458256,9.7675,0.211031774,0.211031774,27.5,33.75,1
6899,4,2458256,9.765,0.211031774,0.211031774,20,31.25,1
6899,4,2458256,5.775,0.212703591,0.212703591,36.25,15,1
6899,3,2458256,0.6975,0.213084893,0.213084893,46.25,31.25,1
6899,3,2458256,0.60999,0.21467968,0.21467968,45,21.25,1
6899,2,2458256,1.23499,0.217456796,0.217456796,42.5,35,1
6899,4,2458256,1.06001,0.219125146,0.219125146,40,25,1
6899,4,2458256,0.6075,0.219647523,0.219647523,37.5,21.25,1
6899,3,2458256,0.605,0.219647523,0.219647523,33.75,25,1
6899,3,2458256,1.9325,0.220187984,0.220187984,45,28.75,1
6899,2,2458256,3.09125,0.220724183,0.220724183,42.5,38.75,1
6899,2,2458256,2.2275,0.221359329,0.221359329,31.25,17.5,1
6899,1,2458256,2.51375,0.222482142,0.222482142,37.5,18.75,1
6899,2,2458256,2.51751,0.222482142,0.222482142,47.5,13.75,1
6899,2,2458256,8.38125,0.223398093,0.223398093,38.75,18.75,1
6899,4,2458256,0.56375,0.224103246,0.224103246,41.25,23.75,1
6899,1,2458256,1.1,0.225051937,0.225051937,27.5,22.5,1
6899,2,2458256,1.09875,0.225051937,0.225051937,40,30,1
6899,3,2458256,1.23,0.225171552,0.225171552,30,27.5,1
6899,2,2458256,0.3325,0.225539054,0.225539054,42.5,22.5,1
6899,1,2458256,5.31875,0.226008945,0.226008945,27.5,28.75,1
6899,2,2458256,5.32,0.226008945,0.226008945,40,27.5,1
6899,2,2458256,3.5625,0.226488944,0.226488944,17.5,17.5,1
6899,1,2458256,3.55625,0.226488944,0.226488944,5,21.25,1
6899,4,2458256,0.69125,0.23084823,0.23084823,30,41.25,1
6899,4,2458256,5.0375,0.232435965,0.232435965,46.25,20,1
6899,1,2458256,5.0375,0.232435965,0.232435965,25,11.25,1
6899,3,2458256,5.03376,0.232435965,0.232435965,33.75,28.75,1
6899,4,2458256,3.32125,0.233903768,0.233903768,47.5,28.75,1
6899,3,2458256,3.32249,0.233903768,0.233903768,36.25,26.25,1
6899,1,2458256,2.46376,0.234077615,0.234077615,31.25,8.75,1
6899,2,2458256,2.46375,0.234077615,0.234077615,41.25,31.25,1
6899,4,2458256,0.31125,0.23452302,0.23452302,31.25,18.75,1
6899,3,2458256,0.30875,0.23452302,0.23452302,27.5,26.25,1
6899,3,2458256,0.62375,0.235781309,0.235781309,35,13.75,1
6899,2,2458256,1.07,0.236328361,0.236328361,26.25,20,1
6899,2,2458256,0.39874,0.240795822,0.240795822,35,31.25,1
6899,3,2458256,5.09876,0.241190578,0.241190578,37.5,15,1
6899,4,2458256,3.58875,0.241917493,0.241917493,36.25,18.75,1
6899,1,2458256,3.53626,0.243389839,0.243389839,33.75,41.25,1
6899,2,2458256,3.54001,0.243389839,0.243389839,42.5,27.5,1
6899,2,2458256,5.50125,0.243532039,0.243532039,41.25,23.75,1
6899,1,2458256,3.18749,0.24531022,0.24531022,27.5,15,1
6899,3,2458256,3.19,0.24531022,0.24531022,42.5,21.25,1
6899,2,2458256,3.18625,0.24531022,0.24531022,35,27.5,1
6899,4,2458256,4.47,0.246015858,0.246015858,27.5,26.25,1
6899,1,2458256,7.29375,0.246541719,0.246541719,20,12.5,1
6899,2,2458256,7.29001,0.246541719,0.246541719,10,18.75,1
6899,1,2458256,5.46501,0.247247972,0.247247972,27.5,20,1
6899,4,2458256,5.46624,0.247247972,0.247247972,48.75,21.25,1
6899,3,2458256,5.4625,0.247247972,0.247247972,40,35,1
6899,1,2458256,9.06,0.248204457,0.248204457,12.5,15,1
