channelNumb,JulianDay,PossibleDecayLength(MicroSeconds),StartDecay,EndDecay,FirstSignalTimeOverThreshold(nanoseconds),SecondSignalTimeoverThreshold(nanoseconds),PossibleDecayNumber
6899.1,2460440,1.62249,0.500431076,0.500431076,28.75,30,1
6899.1,2460440,2.36,0.501092611,0.501092611,16.26,15,1
6899.4,2460440,6.4,0.501246084,0.501246084,46.25,20,1
6899.4,2460440,1.4175,0.501301376,0.501301376,46.24,32.5,1
6899.2,2460440,2.35,0.502116894,0.502116894,25.01,16.24,1
6899.2,2460440,4.44,0.5028387,0.5028387,8.74,8.74,1
6899.2,2460440,0.6275,0.503447922,0.503447922,45,17.5,1
6899.1,2460440,0.4425,0.504532604,0.504532604,25.01,12.5,1
6899.1,2460440,6.91624,0.506139386,0.506139386,23.74,22.51,1
6899.1,2460440,2.95876,0.507595497,0.507595497,25.01,17.49,1
6899.1,2460440,0.67751,0.507809206,0.507809206,15,17.5,1
6899.1,2460440,6.41125,0.512580955,0.512580955,10,31.25,1
6899.3,2460440,1.4275,0.513615228,0.513615228,35,20,1
6899.1,2460440,1.62,0.518035368,0.518035368,26.25,21.25,1
6899.1,2460440,8.79626,0.519516605,0.519516605,17.5,10,1
6899.1,2460440,8.405,0.519977446,0.519977446,27.49,22.49,1
6899.4,2460440,2.1325,0.520041007,0.520041007,36.25,17.5,1
6899.1,2460440,0.73251,0.520254702,0.520254702,23.75,15,1
6899.1,2460440,0.6575,0.522638657,0.522638657,21.24,23.75,1
6899.1,2460440,0.36624,0.522820827,0.522820827,18.75,12.51,1
6899.3,2460440,0.50625,0.524477419,0.524477419,32.5,26.25,1
6899.2,2460440,5.26125,0.526315954,0.526315954,23.74,27.5,1
6899.4,2460440,0.91,0.529943852,0.529943852,30,21.25,1
6899.4,2460440,6.505,0.530261573,0.530261573,13.76,15,1
6899.2,2460440,1.9275,0.530265092,0.530265092,18.74,13.75,1
6899.1,2460440,0.42625,0.530834259,0.530834259,32.51,23.74,1
6899.2,2460440,4.84126,0.530960297,0.530960297,35,6.24,1
6899.2,2460440,1.76376,0.532060827,0.532060827,26.25,10,1
6899.2,2460440,2.47125,0.533010896,0.533010896,16.25,26.24,1
6899.4,2460440,0.35,0.533032666,0.533032666,38.76,18.75,1
6899.1,2460440,5.50125,0.533513099,0.533513099,27.49,10,1
6899.2,2460440,1.63,0.536493891,0.536493891,33.76,33.76,1
6899.4,2460440,0.5875,0.541333762,0.541333762,27.49,15,1
6899.4,2460440,1.3375,0.542943668,0.542943668,32.49,25,1
6899.4,2460440,3.22,0.54415373,0.54415373,37.5,21.26,1
6899.2,2460440,0.38874,0.547766647,0.547766647,33.75,12.51,1
6899.4,2460440,0.64874,0.548307265,0.548307265,36.25,27.5,1
6899.1,2460440,6.02375,0.54851175,0.54851175,22.51,15,1
6899.4,2460440,1.20001,0.549000686,0.549000686,42.5,28.75,1
6899.4,2460440,2.06,0.549154572,0.549154572,43.75,23.75,1
6899.1,2460440,2.46,0.549366397,0.549366397,28.75,25,1
6899.2,2460440,1.90624,0.549772947,0.549772947,31.25,17.5,1
6899.2,2460440,0.5875,0.550570616,0.550570616,23.75,37.5,1
6899.1,2460440,3.43,0.55060945,0.55060945,25,17.51,1
6899.2,2460440,5.6025,0.551718346,0.551718346,33.76,18.74,1
6899.2,2460440,0.81251,0.552402188,0.552402188,21.26,23.75,1
6899.2,2460440,1.81374,0.552451748,0.552451748,38.74,17.51,1
6899.1,2460440,2.50375,0.553965119,0.553965119,51.25,18.74,1
6899.1,2460440,0.55875,0.554174564,0.554174564,23.75,15,1
6899.2,2460440,0.57,0.555626282,0.555626282,28.76,36.26,1
6899.2,2460440,2.91625,0.555651569,0.555651569,40,10,1
6899.4,2460440,0.295,0.556082927,0.556082927,32.51,21.26,1
6899.1,2460440,0.535,0.556290538,0.556290538,23.75,19.99,1
6899.2,2460440,0.4125,0.556642671,0.556642671,35,22.5,1
6899.1,2460440,1.48249,0.55723821,0.55723821,25,13.76,1
6899.2,2460440,1.4325,0.557445453,0.557445453,27.51,17.51,1
6899.4,2460440,2.165,0.557765961,0.557765961,41.26,22.5,1
6899.1,2460440,0.92125,0.560480363,0.560480363,22.5,30,1
6899.2,2460440,5.88874,0.562203255,0.562203255,47.49,27.5,1
6899.1,2460440,1.75499,0.562317682,0.562317682,28.75,26.25,1
6899.1,2460440,0.625,0.562687065,0.562687065,25,10,1
6899.1,2460440,6.03251,0.56269189,0.56269189,26.25,34.99,1
6899.3,2460440,3.6975,0.563292177,0.563292177,42.5,36.25,1
6899.1,2460440,2.87875,0.567224334,0.567224334,36.25,27.5,1
